geo_id,city,zip,california_county,latitude,longitude,drinking_water,low_birth_weight,total_birth_pop,total_birth_count,birthing_rate,avg_birthing_age,teen_birth,geriatric_birth,female_employment_rate,unemployment_rate,health_insurance_coverage,disability,poverty_rate_families,poverty_rate_all,residence_over_1y,edu_less_than_hs,edu_some_hs,edu_hs,edu_some_college,edu_associate,edu_bachelors,edu_grad_prof,edu_hs_or_higher,edu_bachelors_or_higher,fms_never_married,fms_married_separated,fms_separated,fms_widowed,fms_divorced,foreign_born,foreign_born_europe,foreign_born_asia,foreign_born_africa,foreign_born_oceania,foreign_born_latin_america,foreign_born_north_america,foreign_born_not_citizen,limited_english,limited_english_spanish,limited_english_indo_euro,limited_english_aapi,limited_english_other
6095252913,Vacaville,95687,Solano,38.3258768,-121.9655186,267.1571257,5.67,1409,9,0.0063875088715401,22,0,18299.777777777777,71.1,8.9,96,11.1,3.4,5.2,84.5,4.5,1.1,20.4,30.4,18.8,18.8,5.9,94.3,24.7,23.8,50.6,9.9,8.3,7.3,12.9,11.9,44.4,0,2,38.8,3,36.6,3.4,2.5,0.2,0.7,0
6095252914,Vacaville,95687,Solano,38.3334133,-121.9428965,266.669176,3.64,1602,109,0.06803995006242197,28.380733944954127,0,1510.9908256880733,68.6,7.5,92.6,14.9,5.7,5.5,77.3,3.2,2.8,17.9,37.2,15.6,18.9,4.3,93.9,23.2,25.3,47.7,1.7,9.7,15.5,14.8,7.9,71.3,4.7,3.3,12.7,0,31.3,4.8,1.6,1.2,2,0
6095252915,Unincorporated Solano County area,95687,Solano,38.3191193,-121.9245995,265.9802272,3.09,1056,102,0.09659090909090909,28.323529411764707,0,1614.686274509804,73,7.2,98.8,6.7,0.6,0.9,87.5,2.1,2.1,7.7,24.4,13.1,28.8,21.8,95.8,50.6,29.7,60.4,2.3,1.5,6.1,15,9.9,60.1,0,1.2,27.8,1,30.3,4.6,0.5,1.3,2.8,0
6095253101,Vacaville,95688,Solano,38.3505074,-122.0063092,349.0112494,4.75,1317,65,0.04935459377372817,28,0,2533.8153846153846,61.7,11.1,85.9,13.2,8.5,13.9,84.8,8.6,5,27.8,27.7,9.7,13.5,7.7,86.4,21.2,29.4,45,3.7,4.2,17.7,13.5,13.6,7.5,0,4.3,73.7,0.9,66.2,10.6,9.7,0,0.9,0
6095253105,Vacaville,95687,Solano,38.3539248,-121.9670749,267.1571257,3.75,1554,195,0.12548262548262548,34.30769230769231,0,844.6051282051282,75.3,12.5,83.4,11.9,23.3,24.7,75.1,3.1,3.3,23.7,39.1,15.5,11.1,4.2,93.6,15.4,38.6,32.6,5.2,2.1,21.5,8,6.4,56.5,3,0,34.2,0,45.4,6,2.5,0.3,3.2,0
6095253106,Vacaville,95687,Solano,38.3417484,-121.9660433,267.1571257,4.12,975,14,0.014358974358974359,37,0,11764.142857142857,59.5,12.3,86,7.7,9.7,9.1,74.4,3.9,6,24,35.5,8.6,13.6,8.3,90.1,21.9,28.7,39.2,3.8,2.7,25.5,9,6.5,31,1.9,0,50.3,10.3,71.6,4.9,4,0.3,0.6,0
6095253107,Vacaville,95687,Solano,38.3420876,-121.9790495,267.1571257,4.35,1411,185,0.13111268603827073,36.4054054054054,0,890.2594594594594,54.1,11.6,94.6,12.6,12.4,15.8,84.7,6.7,5.5,28.1,36.8,11.6,8.5,2.8,87.9,11.3,25.6,37.4,4.7,6.2,26.1,8.3,2.7,39.1,0,0,58.2,0,42.6,5.6,4.2,0,1.3,0
6095253108,Vacaville,95687,Solano,38.3288304,-122.0008642,292.9289901,4.53,878,135,0.15375854214123008,32.888888888888886,0,1219.9851851851852,55.7,12.2,90.4,13,6,6.6,74.4,2.8,7.4,29.8,26,9.6,16.9,7.4,89.7,24.3,23.1,47.3,3,10,16.6,13,4.6,24.6,1.6,0,69.2,0,42.8,6.5,5.2,0,1.4,0
6095253201,Vacaville,95688,Solano,38.3703216,-122.0115118,265.225575,3.02,797,86,0.10790464240903387,36.24418604651163,0,1915.093023255814,57.8,8.2,95.3,10.6,4.7,5.9,90.2,0.2,3.7,23.9,34.7,5.7,18.9,12.8,96.1,31.8,13.4,63.6,0.6,10.3,12.2,5.5,25.4,32.6,0,0,35.6,6.4,0,1.2,0.5,0,0.7,0
6095253203,Vacaville,95688,Solano,38.3622036,-121.9967931,267.1571257,2.24,1093,30,0.027447392497712716,23.833333333333332,0,5489.933333333333,63.9,10.4,88.9,12.4,13.3,13.6,80.5,3.5,9.1,28.7,30.7,9.4,11,7.4,87.3,18.5,31.8,38.3,6,7,17,6.1,17.9,9.3,0,0,69.6,3.1,59.9,3.1,2.2,0.8,0.2,0
6095253204,Vacaville,95688,Solano,38.3825661,-121.9869787,265.8303229,4.94,1892,75,0.03964059196617336,30.4,0,2195.9733333333334,65.3,8.7,86.1,7.6,18.8,22.1,83.1,17.8,6.3,21.7,25.3,6.6,12.7,9.5,75.9,22.3,30.9,47.7,5.9,3.8,11.7,22.8,6.5,13.3,0,0,80.3,0,73.4,17.3,15.6,0.9,0.8,0
6095253205,Vacaville,95688,Solano,38.3742945,-121.9717589,267.1571257,4.32,850,34,0.04,22,0,4844.058823529412,68.6,12.6,86.9,6.8,19.8,30.8,75.3,9.8,3.6,23,34.9,5.7,16.1,6.9,86.6,23.1,41.6,50.3,0.7,4.4,3,13,2.4,10.6,0,0,87,0,78.6,9.2,8.6,0.2,0.5,0
6095253206,Vacaville,95688,Solano,38.3962812,-121.9742566,267.6440463,3.11,734,35,0.047683923705722074,22.714285714285715,0,4705.657142857143,65,15,98.5,5.8,1.9,2.7,84.9,0.6,2.5,19.5,30.8,10.2,24.6,11.8,96.9,36.4,23.5,57.4,2.5,6,10.6,12.7,10.4,65,0,0,24.6,0,38.9,3.6,0.2,1.5,1.8,0
6095253300,Unincorporated Solano County area,95620,Solano,38.4198882,-121.7998024,689.6745309,1.5,681,56,0.08223201174743025,26.821428571428573,0,2941.035714285714,48.2,5.8,86.8,10.6,3.6,5.6,95,11.1,9.8,28.4,22.7,5.4,10.4,12.1,79.1,22.5,20.5,56.2,0.1,9.6,13.7,16.8,8.3,4,0,2.1,81.4,4.2,71.6,13.7,12.5,0.7,0.5,0
